argument_id;chunk;topic;topic_prob;embedding;polarity_score
0;I always get a half size up in my tennis shoes .;2;0.0;[6.204493999481201, -2.7216644287109375, -0.9049015641212463, 5.410396575927734, 3.848881959915161];-0.16666666666666666
0;For some reason these feel to big in the heel area and wide .;12;0.7413491954372234;[6.8902482986450195, -2.6051783561706543, -0.7470744252204895, 5.209306716918945, 4.072609901428223];-0.05
1;walked 3 hours with no problem;21;0.0;[8.555655479431152, -1.1300060749053955, -2.042635202407837, 6.1254048347473145, 3.2408695220947266];0.0
1;Put them on and !;21;1.0;[7.501819610595703, -0.8035226464271545, -2.374336004257202, 6.499886989593506, 4.431385040283203];0.0
1;Love them !;0;1.0;[4.649739742279053, 1.449140191078186, -0.8750065565109253, 4.616175651550293, 6.739525318145752];0.625
1;So light feeling;8;1.0;[8.08355712890625, 0.9732968211174011, 0.6664097309112549, 5.863987922668457, 5.600385665893555];0.4
2;excelente;-1;0.0;[7.100994110107422, -0.3646927773952484, 0.8077558279037476, 5.793422222137451, 6.578442096710205];0.0
3;The shoes fit well in the arch area .;20;0.0;[7.190272331237793, -2.144697666168213, -0.5588308572769165, 4.750553131103516, 4.9355974197387695];0.4
3;They are a little wider in the toe area of the shoe , you feel like you have a lot of room .;12;1.0;[6.953368663787842, -2.685260772705078, -0.889643669128418, 5.3290114402771, 4.00239896774292];-0.1875
3;This does not make the shoe uncomfortable , just had to get used to it .;12;0.0;[7.637627124786377, -2.194934129714966, -1.5647693872451782, 5.641282081604004, 4.277438163757324];-0.5
3;Love the shoe .;22;0.7567628387785116;[7.723724842071533, -1.3614845275878906, -2.710484504699707, 4.269078731536865, 6.072012901306152];0.5
4;Tried them on in a store before buying online so I knew they 'd fit good .;13;0.0;[5.767589569091797, -1.7559863328933716, -0.6796119213104248, 5.334293842315674, 4.927109718322754];0.55
4;Overall I was looking for a durable cross training shoe that would hold up to my rigorous training and these have been great so far .;9;0.8492647618571109;[8.511037826538086, -1.28964364528656, -2.7977426052093506, 4.90246057510376, 4.41121244430542];0.225
4;They are really light and comfortable .;3;0.5702749775630428;[8.728254318237305, 0.0555698536336422, -0.43373048305511475, 6.1605072021484375, 5.11164665222168];0.4
4;Most importantly for me they have grips on the bottoms so my feet do n't slide out from under me while doing planks , push - ups , etc .;4;0.0;[8.49130630493164, -1.8387324810028076, -2.0035400390625, 5.346249103546143, 4.36988639831543];0.45
4;Highly satisfied with this purchase .;5;1.0;[5.352819442749023, -0.2932170033454895, 0.10056038200855255, 5.974907875061035, 5.2702436447143555];0.5
5;I recommend that !;24;0.8730776652373328;[4.710269451141357, 0.4486485719680786, -0.6359527111053467, 6.044710636138916, 5.521697998046875];0.0
6;this is the 2nd pair he 's worn .;16;0.9286891909860767;[6.763524055480957, -0.6116474866867065, -2.470928907394409, 5.612126350402832, 5.419273376464844];0.0
6;My son likes these , and;13;1.0;[5.682377338409424, -0.0032791614066809416, -3.298691749572754, 5.016335487365723, 6.064142227172852];0.0
7;Comfortable;18;0.7875888115282146;[9.68145751953125, -0.48206648230552673, 1.371170997619629, 7.825676441192627, 4.882303237915039];0.4
8;Fit fine ... did not like color in person;1;0.0;[6.393502235412598, -1.7735224962234497, 0.14140437543392181, 5.124216079711914, 5.566564559936523];0.4083333333333333
9;The shoe is too large .;2;0.0;[7.274294853210449, -2.173682928085327, -1.0083049535751343, 4.9017534255981445, 4.755651950836182];0.21428571428571427
9;When you do lunges it hurts the heel .;4;0.9733464693990124;[7.808966636657715, -2.11763596534729, -1.8985363245010376, 6.1169891357421875, 3.613614797592163];0.0
9;The shoe size from a local store is the size I ordered from Amazon however the size or fitting seems to be large;2;0.5569833779260991;[5.807384490966797, -2.5097992420196533, -0.49740609526634216, 5.435222625732422, 4.149733066558838];0.2380952380952381
10;the color is fun;10;1.0;[7.3086724281311035, -0.44068393111228943, 0.029937222599983215, 5.406889915466309, 6.3264336585998535];0.3
10;Really great for walking I 'm very glad I got these and;11;0.0;[8.660236358642578, -1.101371169090271, -2.2319176197052, 5.276243209838867, 4.649730682373047];0.7250000000000001
11;Love these shoes .;23;1.0;[7.504790306091309, -1.0488009452819824, -2.845672845840454, 4.402267932891846, 6.175280570983887];0.5
11;My feet feel so much better .;4;0.861706330851526;[8.248321533203125, -2.1884379386901855, -2.0752596855163574, 6.184916973114014, 3.9687862396240234];0.5
11;Lots of padding and light enough to run in .;3;0.4591080813894138;[8.789896965026855, 0.031887128949165344, -0.12849707901477814, 6.3256707191467285, 4.914269924163818];0.2
12;ok but too big;12;0.0;[6.429462432861328, -2.2971560955047607, 0.03609966114163399, 5.195650577545166, 4.414888381958008];0.25
13;Love these shoes ..;23;1.0;[7.506495475769043, -1.0584590435028076, -2.854138135910034, 4.41684627532959, 6.175561904907227];0.5
13;they are so comfortable .;3;0.8866223734440071;[8.719382286071777, -0.39171239733695984, -0.6280500888824463, 6.416955947875977, 5.285284042358398];0.4
14;In really like these .;0;0.5629013163112166;[5.38581657409668, 0.9469521641731262, -0.8025830984115601, 4.881143569946289, 6.550439357757568];0.2
14;they fit perfectly .;1;1.0;[6.223536968231201, -1.9928942918777466, 0.5970237851142883, 4.602731227874756, 5.5659966468811035];0.7
14;I wear between a 9 - 9.5 womens , I got the 9.5 and;2;0.6618217168680258;[5.553679943084717, -2.9074041843414307, -0.6305543184280396, 5.439242362976074, 3.7438583374023438];0.0
14;have good support;20;1.0;[7.5197553634643555, 0.22597548365592957, -0.4769957661628723, 5.917593002319336, 4.081342697143555];0.7
14;They are light weight but .;8;0.5202141572546107;[8.361929893493652, 0.7476212978363037, 0.18940448760986328, 5.953894138336182, 5.199443340301514];0.4
14;I will buy another pair .;16;0.0;[6.560722827911377, -0.6057297587394714, -2.0117619037628174, 5.6977949142456055, 5.243751049041748];0.0
15;"Love these shoes ! 
";25;1.0;[7.6729416847229, -0.5593697428703308, -2.9142556190490723, 4.022636890411377, 6.560315132141113];0.625
15;comfortable;18;1.0;[9.73731803894043, -0.53326416015625, 1.3837294578552246, 7.880652904510498, 4.928520679473877];0.4
15;So stylish and .;-1;0.0;[7.338428497314453, 0.007298687472939491, 0.4776974320411682, 5.689167022705078, 6.0495991706848145];0.5
15;are in high fashion right now;3;0.34157256797188246;[8.265023231506348, -0.1187903881072998, -0.5127365589141846, 6.185637950897217, 5.504811763763428];0.22285714285714286
15;Just got back from a trip to NYC , Black and white Nikes and yoga pants !;17;0.0;[7.748705863952637, -1.199879765510559, -2.9709482192993164, 4.759135723114014, 5.184054374694824];-0.05555555555555555
16;This shoe is JUST OK .;14;0.0;[7.815765380859375, -1.8212661743164062, -2.151365280151367, 4.516313552856445, 5.420167446136475];0.5
16;Its not as comfortable as I was expecting , compared to my last pair of NIKE shoes .;18;0.0;[7.744579315185547, -1.9940648078918457, -2.233299970626831, 5.034432411193848, 4.770847320556641];0.2
16;I hope they hold up .;9;0.0;[6.972975730895996, -0.24310727417469025, -1.0708932876586914, 5.587410926818848, 5.341733455657959];0.0
17;Best tennis shoes I 've had all my life .;9;0.0;[7.496405124664307, -1.0370267629623413, -2.947632074356079, 4.638550281524658, 5.646820068359375];1.0
17;Very comfortable out the box .;7;1.0;[9.315509796142578, 0.04707872122526169, 0.5272929072380066, 7.1933746337890625, 4.98466157913208];0.52
17;I would buy 10 pairs of these shoes if had the money .;16;0.7374768156972814;[6.875914096832275, -0.7645373940467834, -2.5094809532165527, 5.050832271575928, 5.816498279571533];0.0
18;The color pattern and fit is what I liked the most what I liked the least is that they are not easy to clean and stains do not come out very easy or at all;0;0.0;[7.389499664306641, -1.090602993965149, -1.6990163326263428, 5.32211446762085, 5.579344749450684];0.3141666666666667
19;love these shoes .;23;1.0;[7.5004987716674805, -1.0239158868789673, -2.7985894680023193, 4.40461540222168, 6.158278942108154];0.5
19;Workout in them 3 - 4 times a week at the gym .;15;0.0;[8.092416763305664, -0.5607568025588989, -2.439281940460205, 6.1846137046813965, 3.7535386085510254];0.0
19;I do treadmill , stairmaster , cardio classes and weight lifting .;15;1.0;[8.56283187866211, -0.6717787384986877, -2.508890390396118, 6.225844383239746, 2.7726876735687256];0.0
19;lightweight and versatile shoe .;11;1.0;[8.618890762329102, -1.7684612274169922, -2.0234031677246094, 4.50550651550293, 4.6381731033325195];0.0
20;Great shoe .;22;0.9151374996867679;[7.911623477935791, -1.4925400018692017, -2.586318254470825, 4.154666900634766, 6.055668354034424];0.8
20;have always been pleased with the comfort , performance , and quality;5;1.0;[5.57428503036499, -0.24598227441310883, 0.10182829201221466, 6.028360843658447, 5.21967077255249];0.5
20;I 've had Nike 's before and .;17;1.0;[7.046786308288574, -1.5812907218933105, -2.5529944896698, 4.83438777923584, 4.847299575805664];0.0
20;Though I will say this was the first time I ordered a pair online without trying them on first , so I was nervous .;16;0.0;[5.735719203948975, -1.6088733673095703, -0.8226646184921265, 5.427115440368652, 4.9304327964782715];0.25
20;But this turned out to be a great choice .;0;0.0;[5.777328968048096, -0.5129852294921875, 0.06324714422225952, 5.313138008117676, 5.6383538246154785];0.8
20;lightweight but sturdy , and comfortable during all my workouts;3;0.5626996822631837;[8.742413520812988, 0.141916424036026, -0.42797279357910156, 6.154145240783691, 4.85111665725708];0.4
20;Breathable , .;11;0.0;[9.009337425231934, -0.3558374047279358, 0.7152924537658691, 7.019256114959717, 5.060338020324707];0.0
20;I 've had no discomfort after 2 weeks of use .;4;0.691236638695514;[7.832561492919922, -1.5017116069793701, -2.035440683364868, 6.68345832824707, 3.812330722808838];0.0
20;The built - in arch support is great and;20;1.0;[7.724869728088379, 0.4635258615016937, -0.4386518895626068, 5.93168306350708, 4.024174213409424];0.8
20;As far as the sole thickness and cushioning goes , I would consider these a ' medium ' build ( not thin , not overly thick ) so if you 're into heavy running outdoors then take that into consideration .;9;0.0;[8.605183601379395, -1.1785837411880493, -2.245662212371826, 5.348334789276123, 4.30086612701416];-0.04
20;I think for light runs on a treadmill they would be sufficient .;6;0.8343596034148855;[8.64816951751709, -0.5022218823432922, -2.271183490753174, 5.897815227508545, 3.5417003631591797];0.4
20;Everyone is different in their preference for cushioning , but;12;0.0;[8.822214126586914, -0.6947755217552185, -0.4879133403301239, 6.475116729736328, 4.530401706695557];0.0
20;Love these , highly recommend !;24;1.0;[4.942770957946777, 0.37869197130203247, -0.6453848481178284, 5.8013596534729, 5.635666370391846];0.35
