argument;score;readability
I always get a half size up in my tennis shoes. For some reason these feel to big in the heel area and wide.;3;8.71456235476375
Put them on and walked 3 hours with no problem! Love them! So light feeling;5;9.235476374903175
excelente;5;3.2765298218435324
The shoes fit well in the arch area. They are a little wider in the toe area of the shoe, you feel like you have a lot of room. This does not make the shoe uncomfortable, just had to get used to it. Love the shoe.;4;8.704538948573736
Tried them on in a store before buying online so I knew they'd fit good. Overall I was looking for a durable cross training shoe that would hold up to my rigorous training and these have been great so far. They are really light and comfortable. Most importantly for me they have grips on the bottoms so my feet don't slide out from under me while doing planks, push-ups, etc. Highly satisfied with this purchase.;5;8.150460679196053
I recommend that!;5;7.566615027110767
My son likes these, and this is the 2nd pair he's worn.;5;9.397172734314482
Comfortable;5;0.0
Fit fine...did not like color in person;3;8.73528272656855
The shoe is too large. When you do lunges it hurts the heel. The shoe size from a local store is the size I ordered from Amazon however the size or fitting seems to be large;3;8.669054996127032
Really great for walking I'm very glad I got these and the color is fun;5;8.187064291247093
Love these shoes. My feet feel so much better. Lots of padding and light enough to run in.;5;9.08694810224632
ok but too big;3;9.711657629744384
Love these shoes.. they are so comfortable.;5;8.327085869204382
In really like these. I wear between a 9-9.5 womens, I got the 9.5 and they fit perfectly. They are light weight but have good support. I will buy another pair.;5;8.940065840433771
"Love these shoes!
So stylish and comfortable. Just got back from a trip to NYC, Black and white Nikes and yoga pants are in high fashion right now!";5;8.810994773720807
This shoe is JUST OK. Its not as comfortable as I was expecting, compared to my last pair of NIKE shoes. I hope they hold up.;3;8.646065463067787
Best tennis shoes I've had all my life. Very comfortable out the box. I would buy 10 pairs of these shoes if had the money.;5;8.886005680351147
The color pattern and fit is what I liked the most what I liked the least is that they are not easy to clean and stains do not come out very easy or at all;5;8.024952971118733
love these shoes. Workout in them 3-4 times a week at the gym. I do treadmill, stairmaster, cardio classes and weight lifting. lightweight and versatile shoe.;5;8.632729796023755
Great shoe. I've had Nike's before and have always been pleased with the comfort, performance, and quality. Though I will say this was the first time I ordered a pair online without trying them on first, so I was nervous. But this turned out to be a great choice. Breathable, lightweight but sturdy, and comfortable during all my workouts. The built-in arch support is great and I've had no discomfort after 2 weeks of use. As far as the sole thickness and cushioning goes, I would consider these a 'medium' build (not thin, not overly thick) so if you're into heavy running outdoors then take that into consideration. Everyone is different in their preference for cushioning, but I think for light runs on a treadmill they would be sufficient. Love these, highly recommend!;5;7.889860984260212
The material is real then hope they don't fall apart . to expensive for what you get.;3;8.120933384972886
Nice;3;9.829589465530598
Gracias;5;6.553059643687065
Love these shoes!! They are true to size and very comfortable!! This is my second pair - I wore out the first pair!! Good arch support - I have a high arch!!;5;8.918764523625097
;5;9.829589465530598
Great arch support and comfortable.;5;7.05112316034082
It looks a bit nicer on the picture. Its very light in such a way that when I held the box I wondered if there was just paper filling inside. They are comfortable for the most. Good looking training shoes overall.;4;8.267235882564092
second pair. Comfortable and great for people with bunion issues or previous surgeries.  Sole wears great;5;7.718769459759116
My daughter loves these shoes. Fit true to size.;5;9.327943454686288
Purchased for my daughter for gym class.  She loves them.  Very cute and very comfortable.;5;8.682454701477802
Great look but zero support inside the shoe. Had to buy expensive inserts to be wearable. Expected more from a nike shoe.;3;8.091290519446986
Straight out of the box, these shoes are great! Very lightweight and fits comfortably on my feet like a glove! I love most especially that the sole is not bulky like my previous running shoes  I hated those things lol! I would give them a shot and they are great for the price!;5;8.716227730441517
Great shoes. Fit perfectly. Comfortable right from the start. Light weight and perfect for a 12 hour work shift. Good price also.;5;8.802334342651925
I love them! They fit perfect and are very comfortable!!;5;8.034082106893882
Love these lightweight shoes! Absolute favorite. Always order half a size bigger with nike shoes than with every other shoe in my closet.;5;8.00048271758776
My knees were bothering me during HIIT workouts so i  purchased these shoes after researching many styles.  Fit true to size and are lightweight.  My knees feel better so so hard so good.  They are cute in too!!;5;8.910050348567001
Love the color!;5;8.658791634391944
Comfortable athletic shoe,  good for the gym (ellipical, tredmill, etc.) Fit is good, and shoe is really lightweight and comfy.;4;7.58383589686843
The shoes fit perfectly and came within the time frame i was given.  Very comfortable, which is needed since my job requires a lot if standing abd walking throughout the day.;5;7.908840046475599
They looked very cheap;1;8.8925251742835
The fit is as expected;5;9.01704105344694
Very comfortable shoes. This is my second pair of this style of shoe because I loved them that much.;5;8.46075563618574
Comfortable, consistent each time I order and good looking;5;6.966692486444617
I love the shoe and it fit as expected the photos and description are accurate if you're looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it. I am very satisfied with this purchase;5;7.64581150043286
These are so cute and comfortable and very light. I just received them today and the fit is perfect. I normally wear an 8 1/2 and they are true to size!;5;8.722828848188033
I always order a 1/2 size up in workout shoes.;5;8.820487993803251
I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.;1;8.173429438931354
They run big and are super uncomfortable and the soles squeak. They don't breathe at all.;2;8.32571649883811
Exactly what I expected! Comfortable and chic;5;6.92285880270001
They were a gift  to my daughter she loved them;5;9.436483346243223
Love these comfy shoes. they fit like a glove.;5;9.327943454686288
Very confortable.;5;3.237219209914794
i love these shoes.;5;9.711657629744384
Lightweight, decent arch support and comfortably to wear all day doing regular activity and sprinting.;5;6.439581719597211
daughter loves them;5;8.658791634391944
I ordered a 1/2 size smaller than my usual size, and they are perfect. These shoes are hard to find. Great customer service as well.;5;8.754944487477406
"Very good overall.
Now Ive been a huge Sketchers Go Walk fan for some time and the only reason I tried these instead of the latest number 4 of those is because the tread looked too slippery to me.
These shoes are very sturdy and the grip of the soles has been very solid so far. I use them for basic workout cardio and cross training, as well as work as a massage therapist (I go through shoes fast enough that Ive recently consolidated).
If you're a Go Walk fan, these do not offer the same level of cushion-comfort as those, HOWEVER, they offer the kind of long-term comfort to make them a durable option.
The material of the shoes seem very durable and the breathable. My feet do not feel hot in them.
Now these shoes are ideal for a basic workout or cross training, I would not get them to do 25,000 steps in Walt Disney World.
Solid choice, overall.";4;8.165151005670342
Wife loves them!;5;9.750968241673121
These shoes are extremely comfortable, and fit as expected.  Will purchase again.;5;7.849095811237561
Artculo equivocado en color;1;3.977730441518202
Glad I read the reviews and ordered a half size too big. These are light weight. I worked out in them last night and had a great work out. They are very comfortable. I would recommend these to anyone. I am a Beach Body Coach and these are now my new favorite shoes to work out in. I feel like I am walking in slippers when I wear these shoes. They are so comfortable. I LOVE them so much. I never buy myself anything nice and for Christmas got an Amazon gift card and used it to buy myself these sneakers and they are so awesome. I really do love them and have been telling all my friends about them. GET THESE SHOES!;5;8.613535782433733
On the left shoe, there were two stained yellow spots.;3;8.820487993803251
"I love these, I had the previous iteration (or maybe two earlier?) and finally wore them out after several years. They are definitely a light-weight training shoe so I wouldn't get them if you are going to be doing a lot of running. But this also makes them extremely comfortable, I hadn't realized how hot running shoes made my feet until I switched to these. Good support and my feet stay cool all day, also noticeably light but well-made and long lasting.

I have worn them hiking in a pinch but don't really recommend it because the material is mesh-like and will let a lot of dirt in. But if you mainly take cardio classes and/or do weight training or just need something to wear around town look no further.";5;7.719473893121533
"Super light-weight, decent arch support (mine is higher than average).  I was pleasantly surprised by the sole/tread on these for my circuit training classes, as I couldn't really tell by online pics.  Also pleasantly surprised that these ran ever so slightly bigger than Nike running shoes I use to wear 15+years ago - I always wore one to 1.5 sizes larger in their ""Hurache's""/running shoes, so I was really worried my size 6 would be too small - there is actually more toe room in these shoes than any other size 6 shoe I own (athletic, heel, boot).  But it is the correct amount of room from big toe to edge of shoe for me (an inch or less, I don't want my big toe being jammed into edge of shoe when lunging, jumping, etc.).  Shoes arrived with an odd yellowish color on side of one shoe, but no damage to box, paper lining etc - I was happy that a clorox wipe easily cleaned the shoe and did not discolor any further.  I am very happy and highly recommend, although I have only worked out it once!";5;7.674008912554766
I Love it. It is very light and the color is great.;5;9.08694810224632
My wife loves these shoes. We have both been wearing sketchers and new balance for several years and recently we have both purchased Nike. There is a reason why Nike is still number 1 after all these years, you just cant beat their comfort.;5;8.40549961270333
Absolutly love these shoes!! Beautiful color, comfy, and lightweight;5;6.779531371030209
I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later, I'm sliding out of them while doing sled pushes.;2;8.261667312161114
She loves them;5;9.750968241673121
"These are a bit longer than they should be. I usually wear a 9 but could have easily ordered a 8.5. The width is accurate.

The pink is even pinker than shown and the light gray is over the very bright pink so it isn't as gray as shown in the picture. It makes the shoe a bit overwhelming. Also two grommets on each shoe is dark. I'm not referring to the dark grommets closer to the toe as shown in the photo, I'm talking about two grommets up at the top of of the laces (opposite side of side shown in photo). I thought it was faulty at first until I noticed they were on the same side of each shoe. Kind of odd and not pictured.

Overall, they are very comfortable shoes which is why I am keeping them...even if you can see me coming from a mile away.";3;8.488780971158972
great;5;9.829589465530598
c;5;9.829589465530598
Love them!;5;9.790278853601857
"Very nice shoe, just a bit to snug/small for my foot. The Flex wire really makes it the shoe fit tight to your foot. I need more ""wiggle"" room in my footwear, otherwise I would have kept them.";3;8.76976702615742
Not sure why, but my mid section of my foot starts to hurt using these shoes for a long day or a tough workout at the gym. I've owned other nike shoes of this line but that never happened to me.;3;8.583540363869943
My New Gym shoes! Love them;4;9.750968241673121
Perfect!;5;6.553059643687065
I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.;1;9.242669027332079
Great shoe! Outside arch is kind of high, but I'm still breaking them in. So I'm sure that will work it's way out. I originally ordered a 9, my regular size, and it was a tad too big. Returned and ordered an 8.5 and it fits perfect!;5;8.732532920216885
I had to return the first pair and buy a 1/2 size smaller.  First time I've had to buy smaller for Nike.;4;9.416828040278853
Fit comfortable;5;4.87548412083656
My favorite running shoes!  The wall of the shoe is very thin, which makes them very comfortable to wear if your feet swell as you run.  I would not recommend for use on concrete or a treadmill, as there isn't very much impact absorption, but they are perfect for trail running!;5;8.185271521759253
Nice fit;4;9.790278853601857
I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot.;2;8.391067557749237
They fit perfect, extremely comfortable;5;5.740511231603408
No arch support but l love the colors!;3;8.73528272656855
Shoe was somewhat large;4;8.8925251742835
love them!;5;9.790278853601857
This is a great shoe for in gym workouts. I did take a 10 mile hike and had a blister on my pinky, but other than that these are very comfortable shoes!;4;8.52318938807126
Comfortable and light;5;6.474438419829589
Purchased these for my wife as she has a similar pair that is wearing out.  She has feet are difficult to fit and these fit perfectly without pressure on sensitive portions of her feet.;5;8.057582715502933
I have pretty high arches and my calves always hurt at the gym with other shoes. I have been on the hunt for a good cross trainer that I can use to lift, take gym classes, and lightly jog/run on the treadmill. These have been wonderful! I don't ever have any pain in my calves or my feet when wearing these and they fit like a glove. Highly recommend!;5;8.476015270554386
Great shoes;5;9.790278853601857
These were exactly what I expected.;5;7.994771494965142
Love love love;5;9.750968241673121
I always wear a womans 9 in Nikes but these are bigger than usual. The right one almost slips off my foot a bit.  They are really light and not as sturdy as what I was looking for but over all not bad.;3;8.622145154097128
These shoes are awesome!!;5;8.8925251742835
l always buy Nike shoes and been happy so far, but this time my left shoe fit perfectly while the right shoe was too loose on my heal and when I tighten it more it was hurting side of my foot.;3;7.697757457822449
Bought these as my back up shoes but they have turned into my daily ones I go to! So comfortable and my feet don't hurt after long hours on my feet. I own a cleaning business so I need my feet not to hurt in the middle of the day.;5;8.62394784404854
Absolutely love these shoes and color!! They are perfect for running! I run roughly 4 miles 3x per week. This is my second or 3rd pair of this exact style. Fit is perfect!;5;9.013717343849022
Super comfy!;5;6.5137490317583255
Ordered half a size larger than my usual shoe size and fits perfectly.;5;8.09765834475362
Fit well.;5;9.790278853601857
The fit was perfect! I Highly recommend this shoe.;5;8.235766847405113
"Obsessed with these shoes! I was looking for good all around sneakers (running, walking, tennis, etc.) and these more than fit the bill. I was looking specifically for black nikes (I love the fit) with white soles (good for court sports); I was a little reluctant to purchase because I wasn't sure whether the black on the soles would contact the ground, but it doesn't!";5;8.07071515819579
Cute shoe, fit as expected, and very comfortable.;5;7.5065840433772255
On time, nice sneakers. Fit as expected.;5;8.79516155803917
Perfect fit, as always.;5;8.073392718822618
Great shoe, very comfortable;5;6.435127807900852
Love these sneakers! Perfect fit and super light;5;8.482958946553058
These shoes fit like a glove! Light but very supportive! I have worn them several times and feel very light on my feet.;5;8.712771809292875
Fit true to size;5;9.711657629744384
Love the fit;5;9.750968241673121
Nike always makes a good shoe ..abit rough breaking them in but after 9 hours on my feet anyone's feet would hurt abit;4;7.96755127471121
Oops! I returned these because I ordered wrong size!;1;8.235766847405113
Extremely comfortable sneaker!;5;3.197908597986057
Good looking shoe;5;8.658791634391944
I have had this style before in a different color and have received many compliments on the shoes.  They are great walking shoes!  I wear orthotics and these shoes are one of the best I have found to accommodate them for fit.;4;8.398745393516888
I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home, on smooth floors. I can only assume they were defective.;1;8.538425362399025
Great! Super comfy and cute! No issues and fit perfect!;5;8.42725277562613
Good shoes;5;9.790278853601857
I returned them...found a Ryka pair I liked better;3;8.165182029434547
BEST sneakers I've ever purchased!!!!;5;7.706429124709528
Excellent ...!!!;5;3.2765298218435324
"the best sneakers by far! I had never owned a pair of Nike sneakers, and I went solely on the reviews by others...
And I absolutely loved them!!";5;8.472043412840442
Love these shoes. I've been buying Nikes for years now. I bought this pair for work and everyday wear and another pair for working out and active wear. They also last a long time in my opinion, especially if you take care of them.;5;8.393951130202097
Right one is slightly tight.. hope it will stretch out.. !!;4;9.672347017815646
They're ugly: the toe is rounded and the material is weird. the Nike Womens Flex Trainer 6 is way better looking and costs about the same.;3;8.09765834475362
So lightweight and awesome!;5;8.073392718822618
Luv them!!;5;9.790278853601857
Love the color and fit. I use them to work on at the gym on the treadmill and they are very light and comfortable.;5;8.5780402788536
Bought these shoes with HIIT in mind, but not too sure how I like the fit on my foot. First time to wear them, not great for running. Maybe after they're broken in a little they'll get better. If you just need a comfortable pair of shoes for walking, they're fine.;3;8.725232947555476
My daughter loves them. Great fit!;5;9.204879938032533
This is a very attractive shoe. It is true to size and fits as expected. Very satisfied with the seller - delivered on time.;5;8.00048271758776
Fits good, very lightweight.;4;8.073392718822618
Comfortable shoe for both workout sessions and walking.  Neither too bulky nor too light.  This is my second pair because they fit and have no neon or pink colors, just nice basic B&W.;5;8.474124893954484
Nice;5;9.829589465530598
These are the best shoes I have ever use for my workouts!!! I love them and buy them in bulk!!! LOL;5;9.281675334734977
I love these shoes.  They fit as expected and they look really nice on.  These shoes have a narrow base which I really like.  I don't like the ones that make your foot look wide.;5;9.23677585714868
Love this product.  Great fit.;5;9.750968241673121
Very low cut heel so if you training and pushing sleds - I ran right out of shoes! Although the traction on toe and heel are great;3;8.727760233569684
Just what I needed for Group Fight class. Quick movements and footwork are so easy in these sneakers. Love them.;5;8.62387038471469
Love! Great price too.;5;9.790278853601857
"It's been a long time since I've worked a cross training shoe. This shoe is very light and minimally passed compared to running shoes. That's not meant to be a knock, just a fact.

I ordered the shoes half a size up because as a former runner, I'm used to my feet needing room to spread and swell. I wish I hadn't because they feel a little roomy. I have orthotics, so I think I can remedy the issue once I swap those in.

Otherwise, very good shoes";4;8.598954298993027
Good indoor training shoes for running on treadmill, doing lunges and regular exercises at the gym. These are very flexible, light weight and comfortable. Grip is okay - sticky rubber is used only at the edges of heel and toe areas so I slipped a little when I worked on cable machines, resistance band, etc. on un-carpeted floor.  I would emphasize that if you do lifting as a part of your everyday routine workout I would not recommend them because mine (cushion) lasted only for six months and this is the reason I gave three stars. Other than that, I liked them!;3;7.659418829386417
Perf.;5;9.829589465530598
Best shoes ever!!!;5;8.658791634391944
Fit good;5;9.790278853601857
I use these for my Cardio Dance class and they are perfect and very cute. I would definitely recommend. They also cam earlier than expected!!;5;8.0996385231087
I love these shoes so much that  I reordered another pair online. It's hard to find shoes that fit my really wide feet! The heel back is my favorite part on them, they're thin and feel like another layer of skin, not bulky or tight at all.  I walked all over Europe in these!;5;8.499419054996126
Love these sneakers. Light weight and comfortable even without socks.;5;7.706429124709528
Nice product;4;8.15201394268009
I feel like this pair of shoes was made for my feet. Great fit and comfort! Very pleased with this purchase.;5;9.12565010512338
Quick tranasaction!!!  Loved the shoes!!!  Would purchase from them again!!!;5;8.8925251742835
"I got the impression it's cushiony and comfy by reading the reviews on this product, when i tried it on it was a much firmer than my other work shoes, i'm standing all day and need enough support and comfort, this isn't the right product for that.
So i had to return it, but i would assume it would work fine for training.

It looks decent and clean. and seems sturdy.  just not the right thing for me.
I was refunded instantly upon returning so.. credit for that.";3;8.411390451172554
So comfortable, I don't even feel like I have a sneaker on. Based on the other reviews I got a half a size up and glad I did.;5;8.499419054996126
they are very comfortable feel like you have nothing on.;5;7.837529047250192
My favorite nike shoe;5;7.254260263361735
Super comfortable and extremely lightweight. Great for crossfit!;5;6.435127807900852
Beautiful I love them comfy;5;7.706429124709528
I've not even had them a month and the bottom is coming off. I'm not happy!;1;8.73528272656855
Love them! Fit exactly as expected in length and width! I would definitely buy these again.;5;8.225761683449521
My second pair, love the fit, light weight and great support.;5;8.84075065136258
I have wide feet and these were too narrow but very nice looking.;4;8.60173985580647
Ugh... way to large - is this for a man?;3;9.515104570100696
The shoe fit has expected. It is comfortable.;5;8.073392718822618
They fit great, look great, are quite comfortable and are just what I was looking for!;5;8.420797831138652
Super comfy, true Size , I use them for boot Camp,  cross fit and they are great , absolutely recommended it.;5;8.32900852052672
Love them absolutely comfortable. I'm very picky with sneakers and this ones for the price are great I use them for cross fit , boot camp & they work great . The sole is very flexible , true size . I have a wide feet and they fit perfectly. Very nice looking Great sneakers.;5;8.346900836244645
Wife happy with fit.;4;8.8925251742835
They run big. Order a full size smaller.;4;9.302091402013941
Super light and very comfortable. I'm a runner and they lack a bit in arch support, so the soles of my feet are a sore. I'm going to add an insert to try fix the problem.;3;8.396010844306737
Just because they are white, they do need a washing regularly but I have received many compliments on how pretty these white and pink shoes are. Extremely good Nike quality. Highly recommended.;5;7.504147301833204
Arrived in time. Fit as exoected. They take some breaking in but I wore them 2 days in a row for more than five hours per day.;5;9.151045701006971
I've been using these to exercise and they are nice a roomy and allow my feet to breath. Also love the colors.;5;8.542884303922259
Comfortable from the start and very light.;5;7.721423038619011
As expected.;5;8.15201394268009
Lightweight, comfortable, supportive. Very happy I bought these shoes for working out.;4;7.17563903950426
I love these and have them in a light blue too. Very light weight, airy, and comfortable.;5;8.571074634346378
good quality;5;6.5137490317583255
Very comfortable sneakers and I also like the way it fits.;4;7.865493627209351
Purchased to wear for weightlifting and Zumba. Zumba trial was last night, and they were great! Super comfortable, good ventilation! Not too much padding, very minimalist, which is just what I wanted;4;7.6089756003098366
Comfortable and lightweight.;5;5.382261812548411
I love these shoes my second pair of 40 plus $ shoes and they both have certainly out done the $100 K-swiss that I'm looking to return . The shoes are extremely comfortable, all my clients love them, just wish they came in more colors.;5;8.466153638904792
They fit as expected and perfect for training, the shoelaces are a little bit too long. Other than that these shoes are as I expected them !;4;8.349699100280045
Extremely well fitting and light weight;5;7.994771494965142
Perfect;5;6.553059643687065
Love them;5;9.790278853601857
I love these shoes and have worn them for a long time. That are comfy, thinner on the top & sole and are very cute!;5;8.987606506584042
Fast shipping and turned out as expected. Couldn't be happier.;5;8.689388071262588
I have been wearing for a solid week during my work outs & they are great for comfort and they are light weight.;5;8.408333920146468
Love these shoes for circuit training.;5;8.540859798605732
Super comfortable. I joined Cross Fit and this is the perfect shoe.;4;8.267815646785436
just do it :);5;9.750968241673121
Love these, comfortable, light weight, great fit.;5;8.189498727453799
I love this show.;5;9.711657629744384
The shoes are true to size. I am used to wearing running shoes so these have been an adjustment. Overall, the shoe is nice and provides well for my HIIT and Grit classes I take.;4;8.56774003172144
Love them!  I ordered an 8.5 because I usually wear that size but these are a bit big. I wish I ordered an 8. They are really comfortable and I enjoy wearing them.;5;8.667443158518246
Very comfortable.;4;3.237219209914794
Very nice shoes.  Comfortable.;5;7.804705654531371
Very comfortable. I love wearing them.;5;7.020526723470177
Great fit so comfortable love them!!!!!;5;7.994771494965142
A nice lightweight shoe. Not a lot of cushion so I wouldn't run long distances in them.;4;8.763811682690116
I really love these shoes.  They are attractive and very comfortable.  They work well for my daily workout and fit well.;5;8.427856172610827
Comfortable shoe.  First time I've ever bought nikes that feel so large.  It feels about 1/2 size too big.  I bought 7.5.  I normally wear exactly that size and on occasion an 8.;2;9.13522724893755
Ordered 9(m) received 9 Wide for the second time. Returned them for the second time.;1;8.798605731990707
Nice shoes;5;9.790278853601857
This is my second pair of these shoes.  I love the fit and they provide support for walking.  I like the way the shoes fit around my ankle, as many shoes are uncomfortable because they come up too high in the back.  Try them!;5;8.779579783113865
"There is about a 1/2 inch of extra space from the tip of my big toe to the front of the shoe. That's okay, though. I usually wear socks, so it doesn't feel too big, even if it does make your foot look a bit long.

The colors are vibrant, and the sole has plenty of grip, even on a slippery floor. I wore them for most of the day and they are comfortable.

Overall, I'm very pleased with this shoe.";5;8.732959335405136
Got them for my girlfriend. She loves them. Says it's like wearing slippers because they are incredibly light.;5;8.35883036405887
Serves intended purpose;4;6.474438419829589
They are super comfortable. Loving them.;5;7.020526723470177
I have gotten so many compliments on the blue color and look of this shoe.  It is super comfortable.  The grip is wonderful for my indoor gym cross training classes.  I always order a half size larger in Nike brand shoes and thy fit perfectly as I did with this shoe.;5;8.367383165504776
Fit is fine, but not much cushioning in the footbed. The first time wearing them on a long walk I developed a blister on the bottom of my foot.;3;8.395025908811666
Perfect for the gym, could use a little more support in the toe area but very comfortable and light. Fit true to size.;4;8.134707675209645
Meh, felt very comfortable but provided no support. Seem like a good option for walking around in the summer but not for aerobics or lateral movements;3;7.21551570041113
Love these! Super light and comfortable!;5;7.566615027110767
Loved the products and services!!;5;7.706429124709528
It's hard to find a lightweight athletic shoe with a wide toe box. This shoe has that. I am happy with the support for walking and everyday wear. I wouldn't run in them. Now I just have to stock up on as many pair as I can afford before Nike discontinues them :). Don't you hate when that happens?;5;8.585027199800564
The shoes are amazing,very comfortable and fit as expected highly recommended. :);5;6.6295507358636705
Super comfy!!;5;6.5137490317583255
I needed a wide size, that option was not available. So I went up a half size bigger hoping that would work. It's not quite comfortable but I am  able to wear them. I like the shoes.;4;8.719429043173385
Look great;5;9.790278853601857
